transaction_id,player_id,tricode,type,date,notes
1979-MTL-3-8452287,8452287,MTL,DRAFTED,1979-08-09,"On 1979-08-09, with the 58th overall pick in the 3rd round of the 1979 draft, MTL selected Rick Wamsley, a OHA goalie playing for the Brantford Alexanders."
1979-NYI-3-8449547,8449547,NYI,DRAFTED,1979-08-09,"On 1979-08-09, with the 59th overall pick in the 3rd round of the 1979 draft, NYI selected Roland Melanson, a OHA goalie playing for the Windsor Spitfires."
1979-HFD-3-8449789,8449789,HFD,DRAFTED,1979-08-09,"On 1979-08-09, with the 60th overall pick in the 3rd round of the 1979 draft, HFD selected Don Nachbaur, a WHL forward playing for the Billings Bighorns."
1979-WIN-3-8452419,8452419,WIN,DRAFTED,1979-08-09,"On 1979-08-09, with the 61st overall pick in the 3rd round of the 1979 draft, WIN selected William Whelton, a NCAA defenseman playing for Boston University."
1979-QUE-3-8449905,8449905,QUE,DRAFTED,1979-08-09,"On 1979-08-09, with the 62nd overall pick in the 3rd round of the 1979 draft, QUE selected Lee Norwood, a OHA defenseman playing for the Oshawa Generals."
1979-MNS-3-8449318,8449318,MNS,DRAFTED,1979-08-09,"On 1979-08-09, with the 63rd overall pick in the 3rd round of the 1979 draft, MNS selected Kevin Maxwell, a NCAA forward playing for U. of North Dakota."
1979-CLR-4-8450338,8450338,CLR,DRAFTED,1979-08-09,"On 1979-08-09, with the 64th overall pick in the 4th round of the 1979 draft, CLR selected Steve Peters, a OHA forward playing for the Oshawa Generals."
1979-STL-4-8446219,8446219,STL,DRAFTED,1979-08-09,"On 1979-08-09, with the 65th overall pick in the 4th round of the 1979 draft, STL selected Bob Crawford, a QMJHL forward playing for the Cornwall Royals."
1979-DET-4-8449972,8449972,DET,DRAFTED,1979-08-09,"On 1979-08-09, with the 66th overall pick in the 4th round of the 1979 draft, DET selected John Ogrodnick, a WHL forward playing for the New Westminster Bruins."
1979-WSH-4-8450482,8450482,WSH,DRAFTED,1979-08-09,"On 1979-08-09, with the 67th overall pick in the 4th round of the 1979 draft, WSH selected Harvie Pocza, a WHL forward playing for the Billings Bighorns."
1979-VAN-4-8451077,8451077,VAN,DRAFTED,1979-08-09,"On 1979-08-09, with the 68th overall pick in the 4th round of the 1979 draft, VAN selected Arthur Rutland, a OHA forward playing for the Sault Ste. Marie Greyhounds."
1979-EDM-4-8444945,8444945,EDM,DRAFTED,1979-08-09,"On 1979-08-09, with the 69th overall pick in the 4th round of the 1979 draft, EDM selected Glenn Anderson, a NCAA forward playing for U. of Denver."
1979-CHI-4-8455559,8455559,CHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 70th overall pick in the 4th round of the 1979 draft, CHI selected Louis Begin, a QMJHL forward playing for the Sherbrooke Beavers."
1979-LAK-4-8447161,8447161,LAK,DRAFTED,1979-08-09,"On 1979-08-09, with the 71st overall pick in the 4th round of the 1979 draft, LAK selected John Gibson, a OHA forward playing for the Niagara Falls Flyers."
1979-TOR-4-8451958,8451958,TOR,DRAFTED,1979-08-09,"On 1979-08-09, with the 72nd overall pick in the 4th round of the 1979 draft, TOR selected Vincent Tremblay, a QMJHL goalie playing for the Quebec Remparts."
1979-PIT-4-8455972,8455972,PIT,DRAFTED,1979-08-09,"On 1979-08-09, with the 73rd overall pick in the 4th round of the 1979 draft, PIT selected Brian Cross, a OHA defenseman playing for the Brantford Alexanders."
1979-BUF-4-8447485,8447485,BUF,DRAFTED,1979-08-09,"On 1979-08-09, with the 74th overall pick in the 4th round of the 1979 draft, BUF selected Gilles Hamel, a QMJHL forward playing for Laval National."
1979-AFM-4-8450303,8450303,AFM,DRAFTED,1979-08-09,"On 1979-08-09, with the 75th overall pick in the 4th round of the 1979 draft, AFM selected Jim Peplinski, a OHA forward playing for the Toronto Marlboros."
1979-NYR-4-8446129,8446129,NYR,DRAFTED,1979-08-09,"On 1979-08-09, with the 76th overall pick in the 4th round of the 1979 draft, NYR selected Pat Conacher, a WHL forward playing for the Saskatoon Blades."
1979-PHI-4-8447188,8447188,PHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 77th overall pick in the 4th round of the 1979 draft, PHI selected Don Gillen, a WHL forward playing for the Brandon Wheat Kings."
1979-BOS-4-8449549,8449549,BOS,DRAFTED,1979-08-09,"On 1979-08-09, with the 78th overall pick in the 4th round of the 1979 draft, BOS selected Larry Melnyk, a WHL defenseman playing for the New Westminster Bruins."
