staff_id,nhl_id,start_date,end_date,team,role
CCSTA2_298,1209,1983-01-15,1983-04-02,MNS,head_coach
CCSTA2_448,1743,2022-10-13,2024-01-19,NYI,head_coach
CCSTA2_287,1185,1993-11-17,1994-04-14,HFD,head_coach
CCSTA2_200,1062,1925-11-28,1926-03-17,SEN,head_coach
CCSTA2_362,1307,1980-10-10,1980-11-19,EDM,head_coach
CCSTA2_316,1231,1950-10-14,1953-03-22,TOR,head_coach
CCSTA2_304,1218,1950-10-14,1954-12-19,BOS,head_coach
CCSTA2_526,1847,2017-10-05,2019-04-06,BUF,head_coach
CCSTA2_229,1100,1925-12-02,1929-03-16,NYA,head_coach
CCSTA2_262,1148,1976-12-22,1978-04-08,VAN,head_coach
CCSTA2_176,1024,1939-11-05,1954-01-10,NYR,head_coach
CCSTA2_246,1127,1973-01-31,1973-04-01,NYI,head_coach
CCSTA2_183,1039,1917-12-19,1919-02-20,TAN,head_coach
CCSTA2_363,1308,1955-10-07,1959-11-11,NYR,head_coach
CCSTA2_251,1132,1982-10-05,1987-04-05,CGY,head_coach
CCSTA2_303,1217,1926-11-16,1939-03-19,NYR,head_coach
CCSTA2_275,1168,1973-11-21,1974-04-07,MNS,head_coach
CCSTA2_261,1147,1977-10-13,1980-03-19,DET,head_coach
CCSTA2_201,1063,1922-01-11,1935-03-19,MTL,head_coach
CCSTA2_205,1068,1932-11-12,1933-03-21,SEN,head_coach
CCSTA2_434,1720,2022-02-11,2023-11-11,EDM,head_coach
CCSTA2_175,1023,1976-01-06,1978-02-15,STL,head_coach
CCSTA2_258,1142,1967-10-14,1969-03-30,LAK,head_coach
CCSTA2_187,1046,1974-10-10,1979-04-08,BOS,head_coach
CCSTA2_279,1175,1986-10-09,1989-02-05,WIN,head_coach
CCSTA2_536,1857,1980-10-11,1981-01-07,TOR,head_coach
CCSTA2_233,1106,1919-12-23,1925-03-09,SEN,head_coach
CCSTA2_155,157,2020-01-07,2023-04-14,NSH,head_coach
CCSTA2_218,1084,1929-11-16,1930-03-18,PIR,head_coach
CCSTA2_302,1216,1934-11-08,1936-03-22,BOS,head_coach
CCSTA2_364,1309,1990-10-27,1992-04-15,TOR,head_coach
CCSTA2_319,1236,1919-12-25,1920-03-10,QBD,head_coach
CCSTA2_330,1254,1987-10-08,1987-12-03,QUE,head_coach
CCSTA2_244,1125,1978-10-11,1978-11-07,MNS,head_coach
CCSTA2_353,1286,1979-11-10,1981-02-15,WIN,head_coach
CCSTA2_243,1124,1988-10-06,1991-12-02,PHI,head_coach
CCSTA2_352,1285,1962-12-30,1965-12-05,NYR,head_coach
CCSTA2_312,1227,1981-02-22,1989-04-02,HFD,head_coach
CCSTA2_167,1015,1979-12-08,1982-03-08,STL,head_coach
CCSTA2_327,1249,1922-12-16,1923-03-05,HAM,head_coach
CCSTA2_231,1102,1972-10-07,1973-01-26,NYI,head_coach
CCSTA2_340,1267,1930-11-11,1931-03-21,QUA,head_coach
CCSTA2_508,1827,2019-12-03,2020-03-10,NJD,head_coach
CCSTA2_238,1113,1970-10-10,1971-01-07,DET,head_coach
CCSTA2_348,1275,1920-02-04,1920-03-13,TSP,head_coach
CCSTA2_535,1856,1929-11-14,1930-03-15,MMR,head_coach
CCSTA2_203,1065,1982-03-11,1982-04-04,DET,head_coach
CCSTA2_324,1245,1991-10-05,1992-04-15,HFD,head_coach
CCSTA2_368,1313,1995-12-02,1996-04-12,SJS,head_coach
CCSTA2_211,1075,1954-10-07,1955-03-20,CHI,head_coach
CCSTA2_296,1204,1981-01-10,1984-04-01,TOR,head_coach
CCSTA2_350,1277,1971-10-15,1972-04-01,CGS,head_coach
CCSTA2_290,1188,1956-10-11,1957-03-24,TOR,head_coach
CCSTA2_443,1731,2020-02-15,2023-11-26,MIN,head_coach
CCSTA2_245,1126,1970-10-10,1972-01-06,BUF,head_coach
CCSTA2_354,1291,1972-11-11,1974-02-14,STL,head_coach
CCSTA2_249,1130,1947-10-15,1954-03-21,DET,head_coach
CCSTA2_223,1092,1979-10-11,1979-12-11,MTL,head_coach
CCSTA2_360,1303,1988-10-07,1989-12-02,PIT,head_coach
CCSTA2_161,1006,1974-10-09,1975-02-09,WSH,head_coach
CCSTA2_209,1073,1930-11-18,1931-11-26,TOR,head_coach
CCSTA2_165,1013,1977-11-26,1978-02-08,MNS,head_coach
CCSTA2_169,1017,1981-10-08,1984-02-23,MTL,head_coach
CCSTA2_315,1230,1924-11-29,1926-03-17,TSP,head_coach
CCSTA2_215,1079,1986-03-05,1986-04-06,WIN,head_coach
CCSTA2_447,1742,2018-10-04,2026-01-04,CAR,head_coach
